ElementTypeID	ClassName	Description	CategoryID	EffectsLayout	IsTabbable	VideoLink	FormAPIEnabled
76	ESG.WebUI.ApprovalHold	Approval Hold	5	1	0	NULL	0
77	ESG.WebUI.ReadOnlyForm	Read Only Form	5	1	0	NULL	0
78	ESG.WebUI.GeoCoder	Geo Coder	4	1	0	NULL	1
79	ESG.WebUI.FormTimer	Form Timer	4	1	0	NULL	0
80	ESG.WebUI.ScanCardMultiPurpose	ScanCard Viewer	4	1	0	NULL	0
81	ESG.WebUI.Hyperlink	Hyperlink	2	1	0	u7jkLSgz3Ko	1
82	ESG.WebUI.PostData	Post Data	4	1	0	tnQVtVfl6qQ	1
83	ESG.WebUI.PostDataHidden	Post Data Hidden	4	0	0	L2IFOlW5Lfg	0
84	ESG.WebUI.FileUploadNew	File Upload New	4	1	0	KLn-Cb7wpLA	0
85	ESG.WebUI.SilverlightWebCam	Silverlight WebCam	5	1	0	NULL	1
86	ESG.WebUI.ClientAccountSummary	Client Account Summary	5	0	0	NULL	0
87	ESG.WebUI.StoredProcedureDatabind	Stored Procedure Databind	2	0	0	NULL	1
88	ESG.WebUI.CombineFields	Combine Fields	2	1	0	zGh0oqeLrjc	1
89	ESG.WebUI.FormDefaultValueSetPicker	Default Form Values	5	1	0	NULL	0
90	ESG.WebUI.SSNField	SSN	2	1	1	NULL	1
91	ESG.WebUI.NumberRange	Number Range filter	3	1	0	NULL	0
92	ESG.WebUI.RefreshClientFamily	Refresh Client Family	3	0	0	NULL	1
93	ESG.WebUI.CustomTemplateFieldList	Custom Template Field List	5	1	0	NULL	0
94	ESG.WebUI.PhotoViewer	Photo Viewer	5	1	0	wbl9PBZ_nag	0
95	ESG.WebUI.HiddenEmail	Hidden Email	2	0	0	NULL	0
96	ESG.WebUI.VideoViewer	Video Viewer	5	1	0	NULL	0
97	ESG.WebUI.ProgramEnrollmentEligibility	Program Enrollment Eligibility	3	0	0	NULL	0
98	ESG.WebUI.AlertRuleEditor	Alert Rule Editor	5	1	0	NULL	0
99	ESG.WebUI.AlertTypeChooser	Alert Type Chooser	5	1	0	NULL	0
100	ESG.WebUI.AlertTemplateChooser	Alert Template Chooser	5	1	0	NULL	0
101	ESG.WebUI.AlertActionTypeChooser	Alert Action Type Chooser	5	1	0	NULL	0
102	ESG.WebUI.SpeechRecognizer	Speech Recognizer	5	1	0	NULL	0
103	ESG.WebUI.DOBDateChooser	Date Of Birth Date Chooser	5	1	1	NULL	1
104	ESG.WebUI.AlertParameterEditor	Alert Parameter Editor	5	1	0	NULL	0
105	ESG.WebUI.SQLQueryField	SQL Query Field	2	1	0	NULL	0
106	ESG.WebUI.InlineDataGrid	Inline Data Grid	2	1	0	4_Ci19W6yQM	1
107	ESG.WebUI.ChartViewer	Chart	2	1	0	NULL	0
108	ESG.WebUI.AutoComplete	Find As You Type	2	1	0	T7wCC40OgLQ	0
109	ESG.WebUI.OutcomesStar	Outcomes Star	5	1	0	NULL	0
110	ESG.WebUI.MapControlButton	Map It	5	1	0	NULL	1
111	ESG.WebUI.ResourceUsagePattern	Resource Usage Pattern Advanced	5	1	0	NULL	0
112	ESG.WebUI.Map	Map	2	1	0	NULL	1
