commhub,RoomActivity,AppointmentID,FK_RoomActivity_AppointmentID_Appointment_AppointmentID,dbo,Appointment,AppointmentID
commhub,RoomActivityAttachment,CreatedBy,FK_RoomActivityAttachment_CreatedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomActivityAttachment,DeletedBy,FK_RoomActivityAttachment_DeletedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomActivityAttachment,LastModifiedBy,FK_RoomActivityAttachment_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomActivityRoute,RoomActivityRouteID,FK_RoomActivity_RoomActivityRouteID_RoomActivityRoute_RoomActivityRouteID,commhub,RoomActivityRoute,RoomActivityRouteID
commhub,RoomAppointment,RoomID,FK_RoomAppointment_RoomID_Room_RoomID,commhub,Room,RoomID
commhub,RoomAppointment,AppointmentID,FK_RoomAppointment_AppointmentID_Appointment_AppointmentID,dbo,Appointment,AppointmentID
commhub,RoomAppointment,CreatedBy,FK_RoomAppointment_CreatedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomAppointment,DeletedBy,FK_RoomAppointment_DeletedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomAppointment,LastModifiedBy,FK_RoomAppointment_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomAudience,CreatedBy,FK_RoomAudience_CreatedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomAudience,DeletedBy,FK_RoomAudience_DeletedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomAudience,LastModifiedBy,FK_RoomAudience_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomCall,CreatedBy,FK_RoomCall_CreatedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomCall,DeletedBy,FK_RoomCall_DeletedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomCall,LastModifiedBy,FK_RoomCall_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomParticipant,RoomID,FK_RoomParticipant_RoomID_Room_RoomID,commhub,Room,RoomID
commhub,RoomParticipant,EntityID,FK_RoomParticipant_EntityID_Users_EntityID,dbo,Users,EntityID
commhub,RoomParticipant,LastRoomActivityID,FK_RoomParticipant_LastRoomActivityID_RoomActivity_RoomActivityID,commhub,RoomActivity,RoomActivityID
